Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-04-11,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-05-11,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-06-11,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-07-11,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-08-11,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-10,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-14,"37.000,00","37.000,00","37.000,00","37.000,00",0,3,111.0,111.0
2024-10-15,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-16,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-17,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-18,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-21,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-22,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-24,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-25,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-28,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-29,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-30,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-10-31,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-11-01,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-11-04,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-11-05,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-11-06,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-11-07,"37.000,00",,,"37.000,00",0,0,0.0,0.0
2024-11-08,"37.000,00",,,"37.000,00",0,0,0.0,0.0
,"37.000,00","37.000,00","37.000,00","37.000,00",0,3,111.0,111.0
