Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,13100,,,13100,0,0,0,0
2024-04-11,13100,,,13100,0,0,0,0
2024-05-11,13100,,,13100,0,0,0,0
2024-06-11,13100,,,13100,0,0,0,0
2024-07-11,13100,,,13100,0,0,0,0
2024-08-11,13100,,,13100,0,0,0,0
2024-10-10,13100,,,13100,0,0,0,0
2024-10-14,13100,,,13100,0,0,0,0
2024-10-15,13100,,,13100,0,0,0,0
2024-10-16,13100,,,13100,0,0,0,0
2024-10-17,13100,,,13100,0,0,0,0
2024-10-18,13100,,,13100,0,0,0,0
2024-10-21,13100,,,13100,0,0,0,0
2024-10-22,13100,,,13100,0,0,0,0
2024-10-24,13100,,,13100,0,0,0,0
2024-10-25,13100,,,13100,0,0,0,0
2024-10-28,13100,,,13100,0,0,0,0
2024-10-29,13100,,,13100,0,0,0,0
2024-10-30,13100,,,13100,0,0,0,0
2024-10-31,13100,,,13100,0,0,0,0
2024-11-01,13100,,,13100,0,0,0,0
2024-11-04,13100,,,13100,0,0,0,0
2024-11-05,13100,,,13100,0,0,0,0
2024-11-06,13100,,,13100,0,0,0,0
2024-11-07,13100,,,13100,0,0,0,0
2024-11-08,13100,,,13100,0,0,0,0
,13100,,,13100,0,0,0,0
