Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-04-11,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-05-11,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-06-11,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-07-11,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-08-11,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-10-10,"10.116,00",,,"10.116,00",0,0,0.0,0.0
2024-10-14,"10.116,00",,,"10.116,00",0,0,0.0,0.0
2024-10-15,"10.116,00",,,"10.116,00",0,0,0.0,0.0
2024-10-16,"10.116,00",,,"10.116,00",0,0,0.0,0.0
2024-10-17,"10.116,00",,,"10.116,00",0,0,0.0,0.0
2024-10-18,"10.116,00",,,"10.116,00",0,0,0.0,0.0
2024-10-21,"10.116,00",,,"10.116,00",0,0,0.0,0.0
2024-10-22,"10.101,00","10.101,00","10.101,00","10.101,00",-15,5,50.505,50.505
2024-10-24,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-10-25,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-10-28,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-10-29,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-10-30,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-10-31,"10.101,00","10.101,00","10.101,00","10.101,00",0,5,50.505,50.505
2024-11-01,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-11-04,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-11-05,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-11-06,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-11-07,"10.101,00",,,"10.101,00",0,0,0.0,0.0
2024-11-08,"10.101,00",,,"10.101,00",0,0,0.0,0.0
,"10.116,00",,,"10.116,00",0,0,0.0,0.0
