Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,8000,,,8000,0,0,0.0,0.0
2024-04-11,8000,,,8000,0,0,0.0,0.0
2024-05-11,8000,,,8000,0,0,0.0,0.0
2024-06-11,8000,,,8000,0,0,0.0,0.0
2024-07-11,8000,,,8000,0,0,0.0,0.0
2024-08-11,8000,,,8000,0,0,0.0,0.0
2024-10-10,8000,,,8000,0,0,0.0,0.0
2024-10-14,8000,,,8000,0,0,0.0,0.0
2024-10-15,8000,,,8000,0,0,0.0,0.0
2024-10-16,8000,,,8000,0,0,0.0,0.0
2024-10-17,8000,,,8000,0,0,0.0,0.0
2024-10-18,8000,,,8000,0,0,0.0,0.0
2024-10-21,8000,,,8000,0,0,0.0,0.0
2024-10-22,8000,,,8000,0,0,0.0,0.0
2024-10-24,8000,,,8000,0,0,0.0,0.0
2024-10-25,8000,,,8000,0,0,0.0,0.0
2024-10-28,8000,,,8000,0,0,0.0,0.0
2024-10-29,8000,,,8000,0,0,0.0,0.0
2024-10-30,8000,8000.0,8000.0,8000,0,75,6.0,6.0
2024-10-31,8000,,,8000,0,0,0.0,0.0
2024-11-01,8000,,,8000,0,0,0.0,0.0
2024-11-04,8000,,,8000,0,0,0.0,0.0
2024-11-05,8000,,,8000,0,0,0.0,0.0
2024-11-06,8000,,,8000,0,0,0.0,0.0
2024-11-07,8000,,,8000,0,0,0.0,0.0
2024-11-08,8000,,,8000,0,0,0.0,0.0
,8000,,,8000,0,0,0.0,0.0
